email_text,label
"""Win a free iPhone now click here""",1
"""Meeting scheduled for tomorrow at 10am""",0
"""Congratulations you have won a lottery claim now""",1
"""Please find attached project report""",0
"""Limited time offer buy now""",1
"""Lets catch up for lunch today""",0
"""Earn money from home no experience needed""",1
"""Your order has been shipped successfully""",0
"""Get cheap meds online without prescription""",1
"""Team meeting rescheduled to Friday""",0
"""Claim your free vacation package now""",1
"""Reminder for your doctor appointment""",0
"""You have been selected for a prize click here""",1
"""Monthly performance report attached""",0
"""Exclusive deal just for you hurry up""",1
"""Can you review this document""",0
"""Act now to win big rewards""",1
"""Family dinner this weekend""",0
"""Lowest prices guaranteed shop now""",1
"""Your bank statement is ready""",0
"""Click here to claim your reward""",1
"""Project deadline is next Monday""",0
"""Free entry in a contest win cash""",1
"""Lets have a quick call today""",0
"""Special promotion ends tonight""",1
"""Invoice for your recent purchase""",0
"""You won a free ticket click now""",1
"""Weekly team sync meeting notes""",0
"""Get rich quick scheme join now""",1
"""Your subscription has been renewed""",0
"""Earn dollars fast with this trick""",1
"""Please approve the leave request""",0
"""Hot deals available only today""",1
"""Schedule a meeting with client""",0
"""Claim bonus reward instantly""",1
"""Update your account information""",0
"""Win cash prizes easily click now""",1
"""Draft for review attached""",0
"""Limited offer hurry buy today""",1
"""Your package delivery update""",0
"""Free coupons available click here""",1
"""Team outing planned this weekend""",0
"""Double your income fast join now""",1
"""Please submit assignment by tonight""",0
"""Exclusive offer for valued customer""",1
"""Meeting agenda shared""",0
"""Congratulations you are a winner""",1
"""Feedback on your performance""",0
"""Click now to unlock premium features""",1
"""Reminder to complete your profile""",0